transect_name,buffer_size,ndvi_mean,ndbi_mean,ndvi_var,ndbi_var
Chapel to circle,40,0.538891908426549,0.327146853703033,0.0231393290119125,0.0144420872355997
Chapel to circle,90,0.518780346102026,0.341800866885483,0.0361014872327463,0.0205857227311144
Early afternoon stroll,40,0.58963169859839,0.345857213889182,0.0227240597688674,0.0108276528616111
Early afternoon stroll,90,0.605905935617849,0.328160324056959,0.0269025155444741,0.0151799250698655
Research to Erwin,40,0.307619149748229,0.488524299415447,0.0242062089727249,0.00995206814387774
Research to Erwin,90,0.253228466323739,0.515084011435862,0.0287081785034813,0.012940932333136
Science drive ,40,0.457848624855595,0.351333481326643,0.0175447404125069,0.013702359442543
Science drive ,90,0.421798056475229,0.37901431707143,0.0300488537844753,0.01838290630197
Squirrels Duke Forest,40,0.86639516727909,0.10731898878371,0.00507047105225814,0.00368380058283761
Squirrels Duke Forest,90,0.868675771975448,0.109645944938023,0.00578204678167803,0.00370519345813335
Squirrels downtown,40,0.272728135184943,0.487503507374404,0.0402838924227986,0.0142664749551903
Squirrels downtown,90,0.306987710387791,0.468891143276369,0.0450276007926956,0.0158691633532691
